crane_type,crane_capacity_kg,boom_length_m,boom_angle_deg,lifting_radius_m,hook_height_m,load_type,load_weight_kg,load_area_m2,wind_speed_ms,gust_speed_ms,wind_direction_deg,temperature_c,humidity_percent,air_pressure_hpa,visibility_m,rain_mm,crane_tilt_deg,operator_experience_years,risk_score,safety_status
Rough Terrain Crane,7000,58.4,65,40.6,54.0,Steel Beam,780,1.7,7.2,9.3,147,44.9,36,1009.5,2112,0.0,0.24,25,20.06,Safe
Tower Crane,8000,57.7,69,26.8,52.0,Machinery,1029,3.76,4.7,5.6,74,7.2,77,1015.5,3450,0.0,0.04,6,16.56,Safe
Mobile Crane,5000,22.4,49,14.4,15.9,Shipping Container,2451,13.69,13.3,15.1,130,28.3,84,1030.6,9455,3.6,0.13,6,42.05,Warning
Tower Crane,8000,57.7,47,48.7,41.4,Wind Turbine Blade,2913,18.75,7.0,9.4,101,45.0,86,994.8,6748,1.0,0.64,19,33.21,Safe
Crawler Crane,12000,68.7,69,31.8,66.0,Wind Turbine Blade,2062,15.12,6.5,8.8,25,40.5,88,1027.5,5189,0.0,0.19,25,21.68,Safe
Mobile Crane,5000,38.2,47,16.1,26.7,Steel Pipe,860,4.51,7.9,10.8,330,-3.0,81,991.5,6477,0.0,0.34,24,20.38,Safe
Mobile Crane,5000,22.7,43,10.9,15.1,Glass Panel,335,12.29,11.8,16.0,187,21.5,59,1027.4,4710,0.6,0.42,30,27.7,Safe
Rough Terrain Crane,7000,58.9,43,41.9,39.5,Concrete Block,2918,2.93,12.9,14.2,115,38.0,75,1033.5,9631,0.0,0.25,12,35.7,Warning
Tower Crane,8000,71.6,25,31.9,28.8,Machinery,3555,6.49,9.7,11.1,195,36.1,72,994.9,4330,0.0,0.05,16,29.84,Safe
Tower Crane,8000,64.8,60,31.1,56.6,Concrete Block,3602,2.65,6.3,8.6,154,27.5,39,996.3,1109,1.5,0.32,10,26.57,Safe
Rough Terrain Crane,7000,29.1,40,22.9,17.2,Precast Wall,2519,9.69,6.4,8.4,276,16.0,44,1029.8,2122,1.7,0.04,27,26.79,Safe
Rough Terrain Crane,7000,46.5,42,14.8,30.6,Precast Wall,2821,11.65,15.0,20.2,50,44.0,72,1014.5,6376,1.2,0.14,2,41.16,Warning
Rough Terrain Crane,7000,34.7,32,28.5,19.7,Concrete Block,3714,1.42,10.1,12.9,10,-2.5,67,1001.0,2563,3.6,0.52,26,35.35,Warning
Mobile Crane,5000,22.1,73,13.4,21.5,Glass Panel,536,12.19,7.7,10.2,305,-4.9,43,1034.4,9350,0.0,0.08,9,24.06,Safe
Mobile Crane,5000,23.3,26,8.7,9.6,Glass Panel,802,8.59,9.0,10.0,26,1.3,78,1013.7,1541,1.9,0.28,16,24.33,Safe
Rough Terrain Crane,7000,52.2,57,32.7,43.6,Glass Panel,1168,10.92,10.9,14.2,337,21.1,83,1019.0,1010,2.5,1.36,2,36.56,Warning
Rough Terrain Crane,7000,54.7,52,37.1,43.1,Precast Wall,1301,11.29,8.9,10.3,75,-1.7,60,1018.1,9484,5.0,0.5,23,27.16,Safe
Crawler Crane,12000,59.0,63,34.9,52.4,Wind Turbine Blade,1703,26.9,8.8,9.6,335,27.5,95,1022.4,4022,0.1,0.43,14,31.77,Safe
Rough Terrain Crane,7000,56.1,51,27.3,43.4,Wind Turbine Blade,2994,16.43,4.8,5.8,340,7.7,44,1020.9,8270,1.5,0.06,3,26.94,Safe
Tower Crane,8000,73.3,30,39.4,37.6,Machinery,1332,5.34,1.3,1.6,287,23.1,40,1008.5,7429,7.9,0.36,28,11.0,Safe
Tower Crane,8000,78.7,63,37.1,68.5,Glass Panel,358,11.25,4.1,4.6,55,12.5,96,1006.5,5064,0.0,0.22,19,14.55,Safe
Mobile Crane,5000,44.2,60,37.0,39.6,Steel Beam,2994,3.79,1.4,1.9,136,-3.6,59,1021.6,5562,0.0,0.53,30,21.67,Safe
Crawler Crane,12000,57.6,36,44.8,34.1,Wind Turbine Blade,1642,17.13,2.6,3.3,15,-0.4,92,999.7,7378,5.7,0.24,15,20.22,Safe
Crawler Crane,12000,47.9,44,33.4,34.4,Concrete Block,4618,1.11,3.5,3.9,316,-2.5,35,1002.2,7447,0.0,0.26,16,19.35,Safe
Rough Terrain Crane,7000,39.5,38,28.3,22.8,Wind Turbine Blade,1727,19.25,1.6,2.1,249,21.3,64,992.0,6975,8.2,0.75,20,21.88,Safe
Tower Crane,8000,40.3,44,33.0,29.1,Steel Pipe,1485,3.31,7.1,7.5,220,3.8,73,1014.0,4270,0.0,0.26,17,23.35,Safe
Crawler Crane,12000,43.6,72,14.1,39.5,Concrete Block,4531,1.63,8.8,10.6,207,30.5,78,1003.0,7136,0.0,0.3,1,26.74,Safe
Crawler Crane,12000,48.6,64,26.9,44.4,Machinery,1160,4.62,2.0,2.2,223,24.4,92,993.5,5583,2.5,0.46,24,10.98,Safe
Crawler Crane,12000,51.1,74,20.1,49.2,Concrete Block,3173,2.02,5.1,7.0,178,12.6,43,1000.6,2899,0.0,0.1,9,18.79,Safe
Mobile Crane,5000,25.2,34,18.1,14.7,Shipping Container,4072,13.95,3.8,5.0,296,17.4,97,1018.9,5795,6.3,0.32,28,32.81,Safe
Crawler Crane,12000,47.5,29,26.5,23.6,Steel Pipe,530,3.41,7.3,7.9,236,17.6,32,1006.6,5203,2.1,0.7,3,21.65,Safe
Tower Crane,8000,64.6,57,33.0,54.5,Steel Beam,2342,3.73,6.8,8.5,96,11.1,85,1012.6,1513,0.0,0.05,15,22.9,Safe
Tower Crane,8000,72.4,46,60.8,50.4,Shipping Container,1660,11.98,4.6,5.5,224,21.2,45,1006.4,5134,0.3,0.76,13,24.94,Safe
Rough Terrain Crane,7000,52.1,68,32.8,49.5,Machinery,1069,3.98,2.2,2.7,197,9.2,44,1005.0,2817,0.0,0.11,30,11.47,Safe
Crawler Crane,12000,55.5,66,38.0,50.3,Concrete Block,2268,2.12,3.1,4.0,168,35.7,92,994.2,7437,0.0,0.19,17,14.89,Safe
Crawler Crane,12000,40.9,44,16.3,27.3,Precast Wall,1786,6.59,6.8,7.5,39,9.8,37,1012.8,9343,0.0,0.24,27,16.59,Safe
Tower Crane,8000,66.5,74,42.6,64.3,Shipping Container,2164,11.45,4.8,6.2,319,35.5,46,1022.5,1215,1.2,0.9,14,25.64,Safe
Crawler Crane,12000,73.8,40,61.5,47.9,Precast Wall,1958,8.74,9.8,11.4,240,40.2,49,1006.6,9845,0.0,0.34,15,28.85,Safe
Rough Terrain Crane,7000,51.9,74,26.5,50.0,Shipping Container,2317,16.41,1.9,2.1,128,-2.4,86,1029.3,9585,0.4,0.22,30,16.39,Safe
Tower Crane,8000,68.5,58,52.6,57.2,Shipping Container,2617,13.59,6.6,8.1,223,-0.4,53,1026.8,6227,1.3,0.4,30,26.94,Safe
Tower Crane,8000,56.6,50,32.6,42.3,Concrete Block,2535,1.45,4.9,5.7,50,37.0,67,1025.6,2754,0.0,0.83,2,23.66,Safe
Crawler Crane,12000,85.9,55,58.7,68.9,Precast Wall,2837,9.31,6.2,8.5,9,7.8,44,1014.7,9147,0.5,0.38,14,24.18,Safe
Tower Crane,8000,71.0,40,33.1,43.8,Wind Turbine Blade,2808,26.91,12.6,15.2,56,36.8,88,1016.9,769,0.0,0.26,21,40.4,Warning
Mobile Crane,5000,41.6,43,22.3,28.8,Glass Panel,784,9.33,4.3,5.5,43,21.2,71,993.0,9118,0.0,0.45,18,17.29,Safe
Tower Crane,8000,55.6,55,18.0,45.1,Machinery,1838,6.48,2.5,2.9,34,12.2,38,1024.7,5947,3.9,0.64,5,16.24,Safe
Tower Crane,8000,54.1,46,40.4,37.6,Precast Wall,3848,8.35,10.1,11.2,69,-1.8,83,991.7,3802,3.4,0.39,2,38.28,Warning
Mobile Crane,5000,46.6,45,37.9,33.0,Precast Wall,2037,5.26,4.0,5.1,146,12.8,31,1029.0,5938,2.7,0.01,9,24.51,Safe
Tower Crane,8000,72.0,52,56.8,57.7,Wind Turbine Blade,2194,29.61,9.0,11.0,254,13.4,91,1002.0,1853,0.9,0.24,24,36.63,Warning
Rough Terrain Crane,7000,27.8,63,23.6,23.5,Steel Pipe,1615,2.41,4.8,5.6,151,10.3,79,997.5,7772,0.0,0.55,12,21.63,Safe
Rough Terrain Crane,7000,26.5,47,16.9,19.1,Steel Beam,807,3.01,11.4,13.6,262,35.1,45,1032.9,2839,0.3,0.53,28,26.69,Safe
Rough Terrain Crane,7000,26.2,29,11.3,13.3,Machinery,2368,7.7,8.3,8.8,78,29.0,72,1006.7,1759,0.0,0.28,19,26.13,Safe
Mobile Crane,5000,35.9,50,17.0,26.6,Concrete Block,1106,2.47,10.7,13.1,198,40.7,40,1001.8,4764,4.9,0.21,23,26.24,Safe
Rough Terrain Crane,7000,32.5,64,14.9,30.9,Precast Wall,1819,5.86,4.3,5.8,231,3.6,81,1034.9,5736,0.3,0.46,22,17.67,Safe
Crawler Crane,12000,75.5,60,45.2,67.0,Shipping Container,4415,15.68,0.7,0.9,89,34.7,90,1000.1,3792,2.0,0.16,26,17.77,Safe
Mobile Crane,5000,27.1,56,8.5,22.7,Machinery,2714,6.82,12.1,15.0,313,39.2,33,1003.9,8342,6.7,0.52,17,36.09,Warning
Rough Terrain Crane,7000,51.9,61,17.7,47.3,Concrete Block,2843,1.93,5.4,6.6,65,38.9,95,1018.8,3481,0.0,0.16,25,18.91,Safe
Mobile Crane,5000,33.0,28,25.0,15.6,Steel Pipe,974,2.65,7.4,10.2,115,12.3,91,1030.3,1792,3.3,0.4,9,26.6,Safe
Mobile Crane,5000,39.1,60,17.6,34.4,Concrete Block,3058,2.28,8.7,10.9,297,2.7,68,1027.9,9734,1.0,0.07,2,31.81,Safe
Tower Crane,8000,43.2,66,31.3,38.5,Glass Panel,985,10.58,1.7,2.2,15,19.9,94,1003.0,5449,0.0,0.73,16,16.38,Safe
Mobile Crane,5000,44.1,68,23.1,40.7,Steel Beam,1147,2.32,10.4,12.7,104,12.0,43,1004.1,5731,0.0,0.1,24,25.0,Safe
Crawler Crane,12000,88.8,33,63.8,48.4,Concrete Block,2307,1.48,2.7,3.0,230,7.4,37,992.3,6793,2.8,0.61,28,14.18,Safe
Rough Terrain Crane,7000,33.7,35,25.2,21.1,Machinery,1577,6.58,2.3,2.8,263,18.3,64,1012.4,1975,1.7,0.05,13,17.95,Safe
Rough Terrain Crane,7000,58.8,38,36.5,34.4,Steel Pipe,2327,4.39,1.9,2.6,344,18.5,93,990.4,2261,2.7,0.46,14,18.51,Safe
Mobile Crane,5000,46.5,71,23.3,43.6,Steel Beam,2140,1.15,2.0,2.5,185,22.7,34,1007.4,7878,0.0,0.22,25,14.45,Safe
Crawler Crane,12000,81.3,64,54.8,71.5,Concrete Block,2613,1.75,9.1,12.7,285,41.9,43,999.0,8841,0.0,0.61,13,26.86,Safe
Tower Crane,8000,41.8,33,28.9,24.0,Precast Wall,1610,9.24,2.1,2.6,167,41.6,65,997.3,5402,1.9,0.64,19,17.4,Safe
Crawler Crane,12000,65.4,57,38.8,55.7,Steel Pipe,2245,5.26,5.2,6.1,344,0.5,78,1016.3,936,0.1,0.2,20,19.11,Safe
Rough Terrain Crane,7000,34.3,66,25.1,32.4,Glass Panel,938,6.41,5.6,6.8,268,26.5,73,996.6,4468,2.0,0.05,2,22.45,Safe
Tower Crane,8000,47.6,53,22.5,36.6,Glass Panel,620,10.01,8.2,10.4,241,38.6,32,1021.8,8998,2.5,0.23,7,23.18,Safe
Crawler Crane,12000,89.9,55,53.0,72.9,Shipping Container,3382,17.3,4.8,5.6,181,28.8,58,1017.5,3650,3.1,0.08,8,25.73,Safe
Crawler Crane,12000,67.9,39,55.5,44.7,Steel Pipe,1149,4.76,3.5,4.3,245,12.4,60,1003.0,9895,1.2,0.5,22,15.52,Safe
Rough Terrain Crane,7000,56.4,50,42.3,45.0,Shipping Container,2689,10.34,15.6,21.6,40,12.3,81,1019.5,8349,1.3,0.03,7,44.48,Warning
Mobile Crane,5000,44.8,42,36.4,30.8,Shipping Container,1947,14.93,13.1,16.4,124,-2.5,92,1000.2,4314,7.8,0.32,2,45.13,Warning
Tower Crane,8000,56.5,70,31.6,53.8,Shipping Container,1521,17.72,7.6,10.6,80,15.3,85,1011.5,3767,7.5,0.03,25,26.84,Safe
Crawler Crane,12000,56.1,66,18.7,52.3,Glass Panel,747,11.91,6.6,8.9,19,40.7,47,1008.8,3380,0.7,0.49,30,17.74,Safe
Tower Crane,8000,79.9,50,58.6,60.0,Steel Pipe,453,2.04,6.9,8.6,54,41.4,67,1002.8,9401,0.0,0.02,17,18.04,Safe
Rough Terrain Crane,7000,56.1,33,43.1,30.4,Glass Panel,1028,6.9,5.5,6.1,234,27.4,48,990.6,6023,4.1,0.34,26,19.98,Safe
Crawler Crane,12000,68.4,73,27.8,65.9,Wind Turbine Blade,3193,21.42,2.0,2.3,205,28.5,48,1034.2,8322,2.0,0.76,11,20.61,Safe
Mobile Crane,5000,20.2,49,8.7,16.3,Machinery,2036,5.49,4.3,5.4,133,27.7,55,992.8,2436,2.7,0.49,15,22.22,Safe
Crawler Crane,12000,48.0,68,27.7,46.1,Steel Pipe,780,4.55,2.9,4.0,188,25.7,53,1033.1,8334,0.0,0.75,5,14.93,Safe
Rough Terrain Crane,7000,51.2,63,25.9,46.4,Precast Wall,4102,8.76,11.5,14.7,111,33.1,35,1013.6,9153,0.8,0.12,23,35.77,Warning
Crawler Crane,12000,43.9,61,15.9,39.7,Glass Panel,786,10.29,9.0,10.0,266,17.1,51,1022.3,8508,0.0,0.61,3,23.99,Safe
Rough Terrain Crane,7000,53.3,54,19.9,42.8,Steel Beam,2788,2.39,13.1,17.5,11,14.8,25,1023.6,9975,1.8,0.28,3,34.87,Safe
Tower Crane,8000,56.9,69,19.1,55.1,Concrete Block,4824,1.94,5.6,6.4,92,33.4,78,1006.9,6766,0.0,0.02,15,23.44,Safe
Rough Terrain Crane,7000,38.1,68,31.6,36.8,Shipping Container,4176,16.88,1.7,1.9,275,14.7,41,1022.8,4148,1.8,0.29,27,26.66,Safe
Tower Crane,8000,70.2,44,38.9,49.6,Wind Turbine Blade,2589,20.69,20.0,22.6,235,12.3,60,998.5,2348,1.0,0.21,2,52.62,Warning
Rough Terrain Crane,7000,46.5,26,20.1,18.7,Steel Beam,2328,2.79,8.5,11.0,24,7.2,30,1008.1,4339,0.1,0.28,18,25.09,Safe
Mobile Crane,5000,42.6,74,14.1,41.0,Steel Pipe,1259,5.26,2.6,3.4,163,23.9,66,1000.7,2847,1.4,0.35,22,13.62,Safe
Mobile Crane,5000,32.4,42,10.8,23.5,Shipping Container,4064,15.43,3.6,4.5,24,43.6,73,1025.4,5722,4.2,0.66,23,30.31,Safe
Rough Terrain Crane,7000,39.3,44,19.9,28.3,Precast Wall,1987,10.95,4.7,5.4,73,35.3,32,1015.3,7324,2.0,0.02,18,20.08,Safe
Mobile Crane,5000,31.7,41,13.1,21.4,Precast Wall,4469,7.6,6.0,7.4,97,-2.4,73,1020.3,1147,1.3,0.67,28,33.76,Safe
Tower Crane,8000,47.5,73,29.6,46.1,Glass Panel,690,7.67,9.7,13.3,155,42.9,26,999.5,3613,7.2,0.73,24,27.4,Safe
Tower Crane,8000,69.9,73,39.4,65.8,Glass Panel,606,13.32,10.1,12.6,144,14.0,93,1019.2,5553,0.0,0.12,9,27.94,Safe
Crawler Crane,12000,65.6,56,36.5,55.6,Precast Wall,4119,10.88,1.2,1.6,189,10.6,30,1015.3,4125,2.9,0.61,24,17.59,Safe
Mobile Crane,5000,20.5,60,16.7,18.1,Wind Turbine Blade,2104,17.29,7.7,9.0,194,23.5,56,1012.5,6030,0.0,0.1,9,34.38,Safe
Rough Terrain Crane,7000,58.8,66,41.6,53.6,Machinery,1493,2.84,0.8,1.0,94,40.8,94,1034.6,1462,4.2,0.33,17,14.21,Safe
Tower Crane,8000,73.6,29,60.3,36.4,Steel Beam,2189,1.41,4.9,6.2,34,30.4,26,999.8,7971,3.7,0.16,12,21.74,Safe
Tower Crane,8000,64.7,67,52.6,61.2,Precast Wall,1064,5.05,4.6,5.7,6,-4.2,60,1014.1,5197,5.5,0.22,1,22.16,Safe
Rough Terrain Crane,7000,53.2,36,19.1,29.7,Shipping Container,2487,11.54,5.0,6.2,181,8.4,75,993.6,7152,3.9,0.3,15,22.36,Safe
Mobile Crane,5000,49.7,39,23.1,32.6,Concrete Block,3677,2.98,12.1,15.5,16,-0.3,73,1007.0,8298,0.0,0.18,2,40.77,Warning
Tower Crane,8000,68.1,30,39.2,33.8,Machinery,3117,7.86,5.5,7.6,270,41.0,54,999.5,9786,1.0,0.32,16,24.03,Safe
Crawler Crane,12000,42.3,29,28.6,19.6,Steel Beam,1234,3.79,4.4,5.1,106,24.4,75,1031.8,5403,0.0,0.4,6,18.15,Safe
Mobile Crane,5000,37.0,49,24.9,28.1,Wind Turbine Blade,3047,26.1,2.0,2.7,352,31.2,89,1023.5,6166,0.0,0.35,2,32.31,Safe
Tower Crane,8000,57.5,29,28.0,29.0,Wind Turbine Blade,3484,26.6,4.6,4.9,139,34.2,82,1012.1,6329,0.8,0.49,18,29.03,Safe
